country,region,gdp_growth,adult_literacy,fdi,population,ag_gdp_per,inflation_cp,gni
India,Asia,7.570130368,72.22530365,,1311050527,,5.872426595,6020
Bangladesh,Asia,6.552633316,61.49383164,-3330472366,160995642,15.50747193,6.19428023,3550
Pakistan,Asia,5.538100562,56.44031143,-956000000,188924874,25.46406365,2.539515909,5350
Mexico,Americas,2.546869971,94.54559326,-18158447033,127017224,3.706134062,2.720641263,17150
Vietnam,Asia,6.679288789,94.51426697,-10700000000,91703800,16.992212,0.630612105,5690
Peru,Americas,3.25689986,94.3743515,-6734433651,31376670,,3.555396247,11960
Colombia,Americas,3.081928033,94.57705689,-7724264828,48228704,6.827181465,5.005030657,13520
Philippines,Asia,5.805728663,96.61802673,-122280021,100699395,10.26654633,1.433691756,8900
Nepal,Asia,3.362953183,64.66364288,-18630735.97,28513700,32.78603435,7.868908957,2500
Brazil,Americas,-3.847362495,92.58680725,-61576211015,207847528,5.214794495,9.027239774,15020
Cambodia,Asia,7.036087179,78.34593964,,15577899,28.24914865,1.221270061,3290
Ecuador,Americas,0.290361073,94.51547241,-1060063337,16144363,9.552678084,3.970219159,11190
Bolivia,Americas,3.961728072,95.141922,,10724705,,4.060963726,6840
Ethiopia,Africa,9.607518001,49.03152084,,99390750,40.97328103,10.13411465,1620
Paraguay,Americas,3.014746509,95.53610992,-258601500,6639123,18.5316744,3.129002745,8670
Nigeria,Africa,2.652693623,59.5680809,,182201962,20.85822645,9.017683791,5800
Indonesia,Asia,4.793921304,95.43768311,,257563815,13.52073235,6.363121131,10680
Sri Lanka,Asia,4.785984567,92.61416626,-627976968.5,20966000,8.67951186,0.922021962,11480
Afghanistan,Asia,1.519911264,38.16804123,-169086610,32526562,22.60392687,-1.533846583,1990
Myanmar,Asia,6.991270978,93.09004974,-3137278577,53897154,,10.80343284,
Dominican Republic,Americas,6.953313621,92.46542358,-2221500000,10528391,6.573581532,0.836746347,13570
China,Asia,6.9,96.35745239,-62058344183,1371220000,8.993985292,1.442555384,14160
Bhutan,Americas,3.254254739,63.90681839,-33638273.42,774830,17.05576313,4.521708543,7610
Guatemala,Americas,4.148784475,79.07421112,-1115700000,16342897,11.13122879,2.388720328,7510
Nicaragua,Americas,4.928954392,82.47184753,-784500000,6082032,18.80857461,3.999101824,5050
Chile,Americas,2.066140519,96.62754822,-4663320643,17948141,3.886857174,4.348867283,21740
Kenya,Africa,5.649197078,78.02339935,,46050302,32.93886221,6.582410917,3060
Honduras,Americas,3.635262488,88.42458344,-1112837754,8075060,13.86780382,3.15783118,4740
Benin,Africa,5.240447102,38.44713974,,10879829,23.18749013,0.320398718,2100
Azerbaijan,Asia,1.1,99.80525971,-838252000,9651349,6.791368003,4.171965726,17140
Ghana,Africa,3.882704469,76.57589722,-2970893677,27409893,21.0779414,17.1450737,4070
El Salvador,Americas,2.455062222,87.64821625,-428808703.2,6126583,11.27912125,-0.73063367,8220
Uganda,Africa,5.04298098,73.80983734,-1057015691,39032383,24.70790801,5.22542724,1780
Tanzania,Africa,6.967871634,80.35949707,-1960581620,53470420,30.49737742,5.587837361,2620
Haiti,Americas,1.651661377,60.68935013,-109430000,10711067,,9.016518813,1760
Togo,Africa,5.475268985,66.53759003,,7304578,41.00474401,1.789864499,1320
Senegal,Africa,6.485194754,55.62485123,,15129273,16.2413541,0.14510746,2390
"Congo, Dem. Rep.",Africa,6.91618781,77.22167206,-1165720010,77266814,20.62615801,,720
Madagascar,Africa,3.016568886,64.65630341,,24235390,24.09472175,7.404002032,1400
Mongolia,Asia,2.29544361,98.36763763,-183777109.1,2959134,14.84972915,5.77594951,11070
Niger,Africa,3.605301605,19.1026001,,19899120,36.41879473,1.006885086,950
Morocco,Africa,4.4,71.7105484,-2507734230,34377511,,1.557907113,7680
Cameroon,Africa,6.239188246,74.98558044,,23344179,23.94819391,2.685982772,3080
Burkina Faso,Africa,3.979542067,37.74670029,,18105570,32.94083038,0.954993317,1640
Kyrgyz Republic,Asia,3.469280798,99.50131989,-707451800,5957000,15.94169952,6.503318391,3300
"Egypt, Arab Rep.",Africa,4.2,75.84262085,,91508084,11.1816472,10.35748965,10690
Rwanda,Africa,6.904203115,71.24349976,-319837351.3,11609666,32.68802467,2.518087704,1720
